"","DateTime","count","DepDelay"
"580","2006-1-3-4",2,-2
"581","2006-1-3-5",241,-1.32780082987552
"582","2006-1-3-6",1189,2.70731707317073
"583","2006-1-3-7",1223,6.95993458708095
"584","2006-1-3-8",1298,10.4506933744222
"585","2006-1-3-9",1188,13.0690235690236
"586","2006-1-3-NA",725,NA
"587","2006-1-30-",33,-10.2121212121212
"588","2006-1-30-1",11,9.72727272727273
"589","2006-1-30-10",1143,4.08486439195101
"590","2006-1-30-11",1179,4.60220525869381
"591","2006-1-30-12",1210,9.83553719008265
"592","2006-1-30-13",1172,9.13993174061433
"593","2006-1-30-14",1214,8.81795716639209
"594","2006-1-30-15",1200,8.8325
"595","2006-1-30-16",1196,8.40551839464883
"596","2006-1-30-17",1285,7.60389105058366
"597","2006-1-30-18",1175,10.0697872340426
"598","2006-1-30-19",1077,12.4679665738162
"599","2006-1-30-2",2,-3.5
"600","2006-1-30-20",811,11.3797780517879
"601","2006-1-30-21",591,12.9644670050761
"602","2006-1-30-22",265,18.0905660377359
"603","2006-1-30-23",119,16.6890756302521
"604","2006-1-30-24",3,40
"605","2006-1-30-3",1,14
"606","2006-1-30-4",7,-2.42857142857143
"607","2006-1-30-5",344,-5.12790697674419
"608","2006-1-30-6",1273,-2.81853888452474
"609","2006-1-30-7",1209,-0.654259718775848
"610","2006-1-30-8",1312,0.604420731707317
"611","2006-1-30-9",1117,3.97582811101164
"612","2006-1-30-NA",483,NA
"613","2006-1-31-",18,2.94444444444444
"614","2006-1-31-1",12,-75.9166666666667
"615","2006-1-31-10",1110,-0.33963963963964
"616","2006-1-31-11",1168,0.6875
"617","2006-1-31-12",1121,0.60035682426405
"618","2006-1-31-13",1098,1.42622950819672
"619","2006-1-31-14",1158,2.32297063903282
"620","2006-1-31-15",1171,4.2467976088813
"621","2006-1-31-16",1153,4.27580225498699
"622","2006-1-31-17",1293,4.07115235885538
"623","2006-1-31-18",1156,5.13148788927336
"624","2006-1-31-19",1056,7.53882575757576
"625","2006-1-31-2",2,57
"626","2006-1-31-20",798,7.72681704260652
"627","2006-1-31-21",576,11.0607638888889
"628","2006-1-31-22",245,12.2163265306122
"629","2006-1-31-23",95,18.4315789473684
"630","2006-1-31-3",1,8
"631","2006-1-31-4",8,-5.875
"632","2006-1-31-5",343,-5.31778425655977
"633","2006-1-31-6",1275,-3.53725490196078
"634","2006-1-31-7",1200,-1.88916666666667
"635","2006-1-31-8",1257,-0.915672235481305
"636","2006-1-31-9",1071,0.303454715219421
"637","2006-1-31-NA",298,NA
